# This file contains links between UNL UWs and Hindi Wordnet
# UW	Relation	POS	Words(weight)	SynsetID
#
accredited(icl>adj)	Direct	a	1(4)	10708
accrued(icl>adj)	Direct	a	4(4)	35806
acculturation(icl>content>thing)	Direct	n	1(6)	10147
accumulate(icl>increase>occur,equ>cumulate,obj>thing)	Direct	v	3(2)	7660
accumulate(icl>store>do,equ>collect,agt>volitional_thing,obj>thing)	Direct	v	7(2)	7674
accumulated(icl>adj,equ>accrued)	Direct	a	4(4)	35806
accumulation(icl>group>thing,equ>collection)	Direct	n	1(2)	12645
accumulation(icl>increase>thing)	Direct	n	1(4)	5501
accurate(icl>adj)	Direct	a	3(4),2(4)	13591
accurst(icl>adj,equ>accursed)	Direct	a	4(4),4(4),2(4),2(4)	10096
accusation(icl>assertion>thing)	Direct	n	1(4)	8486
accusation(icl>charge>thing)	Direct	n	3(2)	2999
accused(icl>defendant>thing)	Direct	n	1(2)	23884
accustomed(icl>adj,ant>unaccustomed)	Direct	a	2(7),1(4)	3013
ace(icl>digit>thing,equ>one)	Direct	n	1(4)	11994
ace(icl>digit>thing,equ>one)	Direct	n	1(6)	2929
ace(icl>playing_card>thing)	Direct	n	1(2)	614
acerbity(icl>bitterness>thing)	Direct	n	8(4),5(4)	11754
ache(icl>hanker>be,obj>thing,aoj>person)	Direct	v	1(4)	1377
achieve(icl>reach>do,obj>thing)	Direct	v	3(4),1(4)	37723
achievement(icl>action>thing,equ>accomplishment)	Direct	n	1(6)	4464
achromatin(icl>body_substance>thing)	Direct	n	1(4)	32384
acid(icl>adj)	Direct	a	2(4)	17197
acid(icl>adj,equ>acerb)	Direct	a	4(6),7(4)	11755
acid(icl>compound>thing)	Direct	n	1(6)	38004
acid(icl>compound>thing)	Direct	n	1(4),(4),3(4)	638
acidic(icl>adj,ant>alkaline)	Direct	a	1(4)	13828
acidity(icl>taste_property>thing,equ>sourness)	Direct	n	4(6),2(5)	9928
acknowledgement(icl>acceptance>thing,equ>recognition)	Direct	n	1(4),1(4)	7601
acme(icl>extreme_point>thing,equ>vertex)	Direct	n	2(4),1(6)	1120
acne(icl>skin_disease>thing)	Direct	n	1(2)	1098
aconitum_napellus(icl>aconite>thing,equ>monkshood)	Direct	n	3(2)	31268
acquaintance(icl>person>thing)	Direct	n	1(2)	22349
acquaintance(icl>relationship>thing)	Direct	n	(4),1(6)	11188
acquaintance(icl>relationship>thing)	Hypernymy	n	1(2)	35173
acquirement(icl>ability>thing,equ>skill)	Direct	n	1(4)	2957
acquirement(icl>ability>thing,equ>skill)	Direct	n	1(4),9(4),2(4)	3388
acquiring(icl>deed>thing)	Direct	n	2(4),1(4)	23341
acquisition(icl>ability>thing,equ>skill)	Direct	n	1(2)	14065
acquisition(icl>ability>thing,equ>skill)	Direct	n	1(4)	2957
acquisition(icl>ability>thing,equ>skill)	Direct	n	1(4),2(4)	3388
acquisition(icl>acquiring>thing)	Direct	n	1(2)	2725
acquittance(icl>legal_document>thing)	Direct	n	3(2)	35872
acre(icl>area_unit>thing)	Direct	n	1(4)	13914
acrid(icl>adj,equ>acerb)	Direct	a	4(6),4(6),4(6),7(4),7(4),7(4)	11755
