# This file contains links between UNL UWs and Hindi Wordnet
# UW	Relation	POS	Words(weight)	SynsetID
#
goober(icl>edible_nut>thing,equ>peanut)	Direct	n	1(2)	7722
good(icl>adj,ant>bad)	Direct	a	1(4)	32
good(icl>artifact>thing,equ>commodity)	Direct	n	1(4),2(4)	11791
good(icl>quality>thing,ant>bad)	Direct	n	1(2)	1376
good-looking(icl>adj,equ>fine-looking)	Direct	a	4(4),2(4)	3026
good_faith(icl>honesty>thing)	Direct	n	2(2)	28572
good_friday(icl>christian_holy_day>thing)	Direct	n	1(2),2(2)	24865
good_health(icl>physiological_state>thing,ant>ill_health)	Direct	n	3(2)	16635
good_person(icl>person>thing,ant>bad_person)	Direct	n	1(2)	34067
goodness(icl>quality>thing,equ>good,ant>badness)	Direct	n	3(2)	1376
goodwill(icl>good_nature>thing,equ>grace)	Direct	n	1(2),1(2)	724
goodwill(icl>good_nature>thing,equ>grace)	Direct	n	1(4)	8205
google(iof>search_engine>thing)	Direct	n	1(2)	34579
goose(icl>poultry>thing)	Direct	n	1(4)	29543
gooseberry(icl>currant>thing)	Direct	n	2(2)	9912
gorge(icl>eat>do,agt>living_thing,obj>concrete_thing)	Direct	v	1(2)	13499
gorge(icl>passage>thing,equ>esophagus)	Direct	n	1(2)	21796
gorilla(icl>great_ape>thing)	Direct	n	1(2)	5928
gory(icl>adj,equ>bloodstained)	Direct	a	1(4)	15566
gossip(icl>chat>thing,equ>chitchat)	Hypernymy	n	1(2),2(2)	33151
goth(icl>teuton>thing)	Direct	n	2(2)	26882
gothic(icl>adj,com>goth)	Direct	a	2(2)	26982
gothic(icl>adj,com>gothic)	Direct	a	2(2)	26884
gothic(icl>architectural_style>abstract_thing)	Direct	n	2(2)	26909
gothic(icl>east_germanic>abstract_thing,iof>language)	Direct	n	3(2)	26883
gouge(icl>overcharge>do,equ>extort,src>thing,agt>thing,obj>thing)	Direct	v	1(2)	30146
gourd(icl>fruit>thing)	Hypernymy	n	1(2),2(2),3(2)	2833
gourd(icl>vine>thing)	Hypernymy	n	3(2),2(2),1(2)	17169
gourd(icl>vine>thing)	Hypernymy	n	3(2),1(2),2(2)	37066
gourd(icl>vine>thing)	Hypernymy	n	2(2),1(2),3(2)	5857
gourd(icl>vine>thing)	Hypernymy	n	2(2),1(2),3(2)	8916
gourmand(icl>eater>thing,equ>glutton)	Direct	n	1(2)	11676
gourmet(icl>sensualist>thing,equ>epicure)	Direct	n	1(2),2(2)	38928
govern(icl>determine>be,obj>uw,aoj>thing)	Direct	v	1(2)	39178
governance(icl>body>thing,equ>administration)	Hypernymy	n	1(2),2(2)	37947
governance(icl>social_control>thing,equ>government)	Direct	n	6(4),6(4),1(5),1(5),3(4),3(4)	1009
governance(icl>social_control>thing,equ>government)	Hypernymy	n	2(2),2(2),3(2),3(2),1(2),1(2)	1010
governed(icl>citizenry>thing)	Direct	n	2(2)	28449
government(icl>organization>group,obj>place)	Direct	n	2(4),1(7)	10920
government(icl>social_control>thing)	Direct	n	15(2)	1009
government(icl>social_control>thing)	Hypernymy	n	2(2),3(2),1(2)	1010
government_office(icl>office>thing)	Hypernymy	n	1(2)	35429
governmental(icl>adj)	Direct	a	2(2)	577
governmental(icl>adj)	Direct	a	1(4)	7817
governmental(icl>adj,com>government)	Direct	a	1(4)	7817
governor(icl>control>thing)	Direct	n	3(4)	14577
governor(icl>politician>thing)	Direct	n	2(3)	7814
gown(icl>outerwear>thing)	Direct	n	2(2)	11533
gown(icl>outerwear>thing)	Direct	n	2(4)	8776
gps(icl>navigational_system>thing,equ>global_positioning_system)	Direct	n	1(2)	35216
grab(icl>obtain>do,src>thing,agt>thing,obj>thing)	Direct	v	1(4)	3922
grab(icl>take>do,equ>snap_up,plf>thing,agt>thing,obj>concrete_thing)	Direct	v	2(2)	34820
grace(icl>be>be,equ>deck,obj>thing,aoj>thing)	Direct	v	3(2)	2470
grace(icl>change>do,equ>decorate,cob>thing,agt>thing,obj>concrete_thing)	Direct	v	1(5)	2557
grace(icl>change>do,equ>decorate,cob>thing,agt>thing,obj>concrete_thing)	Hypernymy	v	2(2),1(2)	39451
gracefully(icl>how,ant>gracelessly,com>graceful)	Direct	adv	(4),4(4),1(4),5(4),2(4)	559
grade(icl>gathering>thing,equ>class)	Direct	n	1(4),2(4)	27051
grade(icl>property>thing,equ>degree)	Direct	n	3(2)	29180
graduate(icl>scholar>thing,equ>alumnus)	Direct	n	1(2)	26436
graduate(icl>scholar>thing,equ>alumnus)	Direct	n	2(5),1(4)	8389
graduation(icl>completion>thing)	Direct	n	1(2)	1706
graft(icl>felony>thing,equ>bribery)	Direct	n	4(2)	14582
graft(icl>felony>thing,equ>bribery)	Hypernymy	n	2(2),1(2)	6148
grain(icl>atom>thing)	Direct	n	1(6)	6144
grain(icl>seed>thing)	Hypernymy	n	1(2),2(2),3(2)	13184
grain(icl>seed>thing)	Hypernymy	n	3(2),2(2),1(2)	13429
grain(icl>seed>thing)	Hypernymy	n	2(2),1(2),3(2)	14141
grain(icl>seed>thing)	Hypernymy	n	1(2)	14155
grain(icl>seed>thing)	Hypernymy	n	1(2)	14847
grain(icl>seed>thing)	Hypernymy	n	1(2)	15521
grain(icl>seed>thing)	Hypernymy	n	1(2)	18592
grain(icl>seed>thing)	Hypernymy	n	1(2)	18646
grain(icl>seed>thing)	Direct	n	1(4),2(4)	19
grain(icl>seed>thing)	Hypernymy	n	1(2)	19974
grain(icl>seed>thing)	Hypernymy	n	1(2)	20671
grain(icl>seed>thing)	Hypernymy	n	3(2),1(2),2(2)	25438
grain(icl>seed>thing)	Hypernymy	n	1(2)	29766
grain(icl>seed>thing)	Hypernymy	n	2(2),1(2)	31659
grain(icl>seed>thing)	Hypernymy	n	1(2)	32761
grain(icl>seed>thing)	Hypernymy	n	2(2),3(2),1(2)	33359
grain(icl>seed>thing)	Hypernymy	n	1(2),2(2)	33801
grain(icl>seed>thing)	Hypernymy	n	2(2),1(2),3(2)	33944
grain(icl>seed>thing)	Hypernymy	n	1(2),2(2)	38119
grain(icl>seed>thing)	Hypernymy	n	1(2)	7418
grain(icl>seed>thing)	Hypernymy	n	1(2)	8317
grain_merchant(icl>merchant>thing)	Direct	n	1(2)	650
grainfield(icl>field>thing)	Hypernymy	n	1(2),1(2)	17120
grainfield(icl>field>thing)	Hypernymy	n	1(2),1(2)	17897
grainfield(icl>field>thing)	Hypernymy	n	2(2),2(2),1(2),1(2),3(2),3(2)	18841
gram(icl>metric_weight_unit>thing)	Direct	n	1(2)	2052
grammar(icl>descriptive_linguistics>thing)	Direct	n	1(3)	10068
grammarian(icl>linguist>thing)	Direct	n	2(2)	10065
grammatical(icl>adj,com>grammar)	Direct	a	1(5),1(5)	26770
grammatical_category(icl>class>thing)	Direct	n	2(2)	1190
gramme(icl>metric_weight_unit>thing,equ>gram)	Direct	n	1(2)	2052
gramophone(icl>record_player>thing)	Direct	n	1(2)	14125
gramps(icl>grandparent>thing,equ>grandfather)	Hypernymy	n	3(2),1(2)	6140
gramps(icl>grandparent>thing,equ>grandfather)	Hypernymy	n	3(2),1(2),2(2)	6420
granary(icl>storehouse>thing)	Direct	n	2(2)	4390
grand(icl>adj,equ>distinguished)	Direct	a	3(2)	23221
granddaughter(icl>grandchild>thing,obj>woman,cob>person)	Hypernymy	n	3(2),1(2),2(2)	9220
granddaughter(icl>grandchild>thing,obj>woman,cob>person)	Hypernymy	n	1(2),2(2)	9492
grandeur(icl>elegance>thing,equ>magnificence)	Direct	n	1(4)	25592
grandeur(icl>honorableness>thing,equ>nobility)	Direct	n	1(2)	25598
grandfather(icl>grandparent>thing,obj>man,cob>person)	Hypernymy	n	2(4)	6140
grandfather(icl>grandparent>thing,obj>man,cob>person)	Hypernymy	n	3(2),1(2),2(2)	6420
grandmaster(icl>player>thing)	Direct	n	2(2)	35068
grandmother(icl>grandparent>thing,equ>grandma,obj>woman,cob>person)	Hypernymy	n	3(2),2(2)	3054
grandmother(icl>grandparent>thing,equ>grandma,obj>woman,cob>person)	Hypernymy	n	2(2),1(2),3(2)	9097
grandpa(icl>grandparent>thing,equ>grandfather)	Hypernymy	n	3(2),3(2),3(2),1(2),1(2),1(2)	6140
grandpa(icl>grandparent>thing,equ>grandfather)	Hypernymy	n	3(2),3(2),3(2),1(2),1(2),1(2),2(2),2(2),2(2)	6420
grandson(icl>grandchild>thing,obj>man,cob>person)	Hypernymy	n	3(2),2(2),1(2)	6415
grandson(icl>grandchild>thing,obj>man,cob>person)	Hypernymy	n	1(4)	6416
granite(icl>batholith>thing)	Direct	n	1(7)	29733
granitic(icl>adj,equ>flinty)	Direct	a	3(2)	19760
granny(icl>grandparent>thing,equ>grandma)	Hypernymy	n	3(2),3(2),1(4),1(4),2(2),2(2)	3054
granny(icl>grandparent>thing,equ>grandma)	Hypernymy	n	2(2),2(2),2(2),2(2),1(2),1(2),1(2),1(2),3(2),3(2),3(2),3(2)	9097
grant(icl>property>abstract_thing,obj>quantity,aoj>group,ben>thing,pur>uw)	Direct	n	1(2)	7821
granular(icl>adj,equ>chondritic,ant>achondritic)	Direct	a	1(4)	29068
grape(icl>edible_fruit>thing)	Direct	n	1(5),2(4)	2014
grape(icl>vine>thing)	Hypernymy	n	1(2),2(2),3(2)	15237
grape(icl>vine>thing)	Direct	n	1(5)	1836
graph(icl>visual_communication>thing)	Direct	n	3(7)	24011
graphic(icl>picture>thing)	Direct	n	3(2)	35780
graphite(icl>carbon>thing)	Direct	n	1(4)	14116
graphologist(icl>specialist>thing)	Direct	n	3(2)	22860
grapnel(icl>anchor>thing)	Direct	n	1(2)	14157
grapple(icl>seize>do,agt>thing,obj>thing)	Direct	v	2(2)	14071
grapple(icl>struggle>thing,equ>wrestle)	Direct	n	2(2),2(2)	4421
grappler(icl>combatant>thing,equ>wrestler)	Direct	n	3(4)	7773
grasp(icl>capability>thing,equ>compass)	Direct	n	6(2)	13619
grasp(icl>grasping>thing,equ>clasp)	Direct	n	3(4),1(6)	5007
grasp(icl>understand>be,obj>uw,aoj>person)	Direct	v	1(4)	8221
grass(icl>gramineous_plant>thing)	Direct	n	1(3)	1799
grass(icl>gramineous_plant>thing)	Hypernymy	n	1(2)	18590
grass(icl>gramineous_plant>thing)	Hypernymy	n	3(2),2(2),1(2)	18713
grass(icl>gramineous_plant>thing)	Hypernymy	n	1(2),2(2),3(2)	2902
grass(icl>gramineous_plant>thing)	Hypernymy	n	1(2),2(2)	39183
grass_pea(icl>vetchling>thing)	Direct	n	1(2)	25658
grate(icl>break_up>do,agt>thing,obj>thing)	Direct	v	2(2)	12509
grate(icl>rub>do,agt>thing,obj>concrete_thing,ins>thing)	Direct	v	2(2)	4241
grateful(icl>adj,ant>ungrateful)	Direct	a	4(4),(4),1(9)	1161
grateful(icl>adj,ant>ungrateful)	Direct	a	2(4),1(4)	2285
gratefully(icl>how,equ>appreciatively,ant>ungratefully,com>grateful)	Direct	adv	2(4)	25047
grater(icl>kitchen_utensil>thing)	Direct	n	1(2)	10769
gratification(icl>emotional_state>thing)	Direct	n	1(4)	8157
grating(icl>adj)	Direct	a	5(4)	4177
gratitude(icl>feeling>thing,ant>ingratitude)	Direct	n	1(4)	3459
gratuity(icl>fringe_benefit>thing)	Direct	n	2(2)	10677
gratuity(icl>prize>thing)	Direct	n	2(2)	27938
grave(icl>topographic_point>thing)	Direct	n	2(5)	4007
grave(icl>topographic_point>thing)	Direct	n	2(5)	4080
gravel(icl>rock>thing)	Hypernymy	n	2(6)	2171
gravel(icl>rock>thing)	Hypernymy	n	1(2)	34407
graven(icl>adj,equ>engraved)	Direct	a	3(2)	10477
graveyard_watch(icl>watch>thing)	Direct	n	1(2)	38355
gravity(icl>attraction>thing)	Direct	n	3(5)	10552
gravity(icl>seriousness>thing,equ>graveness)	Direct	n	1(4)	1778
gravy(icl>happening>thing,equ>boom)	Hypernymy	n	1(2),2(2)	2749
gray(icl>adj,equ>grey)	Direct	a	1(2),1(2)	28672
graze(icl>eating>thing)	Direct	n	3(2)	14805
graze(icl>eating>thing)	Direct	n	1(4)	38000
graze(icl>feed>do,equ>crop,agt>thing,obj>thing)	Direct	v	1(2)	6947
graze(icl>feed>occur,equ>crop,obj>thing)	Direct	v	1(4)	5385
grease(icl>oil>thing)	Direct	n	1(2)	18990
greasy(icl>adj)	Direct	a	1(2)	11030
great(icl>achiever>thing)	Direct	n	3(2)	2407
great(icl>adj,equ>outstanding,com>importance)	Direct	a	2(2)	12138
great(icl>adj,equ>outstanding,com>importance)	Direct	a	1(4)	2458
great_britain(iof>island>thing)	Direct	n	1(2)	39461
great_britain(iof>kingdom>thing,equ>united_kingdom)	Direct	n	5(4)	19316
great_granddaughter(icl>great_grandchild>thing,obj>woman,cob>person)	Hypernymy	n	3(2),1(2),2(2)	28980
great_granddaughter(icl>great_grandchild>thing,obj>woman,cob>person)	Hypernymy	n	1(4)	7183
great_grandfather(icl>great_grandparent>thing,obj>man,cob>person)	Hypernymy	n	3(2),1(2),2(2)	9385
great_grandfather(icl>great_grandparent>thing,obj>man,cob>person)	Hypernymy	n	3(2),1(2),2(2)	9387
great_grandmother(icl>great_grandparent>thing,obj>woman,cob>person)	Hypernymy	n	2(2),1(2),3(2)	4596
great_grandmother(icl>great_grandparent>thing,obj>woman,cob>person)	Hypernymy	n	3(2),1(2),2(2)	8355
great_grandson(icl>great_grandchild>thing,obj>man,cob>person)	Hypernymy	n	1(4)	7267
great_grandson(icl>great_grandchild>thing,obj>man,cob>person)	Hypernymy	n	3(2),1(2),2(2)	9827
great_millet(icl>sorghum>thing)	Direct	n	2(2)	8882
greater(icl>adj,ant>lesser)	Direct	a	3(2)	37541
greatness(icl>importance>thing)	Direct	n	2(4),11(4),1(4),5(4)	2464
greatness(icl>largeness>thing,equ>enormousness)	Direct	n	1(4),1(4)	25590
grebe(icl>podicipitiform_seabird>thing)	Direct	n	2(2)	6689
grecian(icl>adj,equ>greek,com>greece)	Direct	a	1(4)	3178
grecian(icl>european>thing)	Direct	n	3(2)	3176
greece(iof>balkan_country>thing)	Direct	n	2(4),1(4)	18863
greed(icl>desire>thing)	Direct	n	1(8),3(7),2(6)	2985
greediness(icl>gluttony>thing)	Direct	n	1(2)	13424
greedy(icl>adj,equ>avaricious)	Direct	a	1(6),1(4),2(6),2(6),3(4),3(6)	7930
greedy(icl>adj,equ>avid,obj>thing)	Direct	a	2(2)	3798
greek(icl>adj,com>greece)	Direct	a	2(2)	3178
greek(icl>european>person)	Hypernymy	n	1(4)	38978
greek(icl>indo-european>abstract_thing,iof>language)	Direct	n	2(4),1(4)	3177
greek_drachma(icl>greek_monetary_unit>thing,equ>drachma)	Direct	n	2(2)	19590
green(icl>adj,ant>ripe)	Direct	a	1(4)	2283
green(icl>color>property)	Direct	n	3(2)	624
green(icl>occur,obj>concrete_thing)	Direct	v	1(2)	10850
green(icl>vegetable>thing,equ>greens)	Direct	n	1(4),1(4)	5945
green_gram(icl>legume>thing,equ>mung)	Direct	n	1(2)	20697
green_revolution(icl>revolution>thing)	Direct	n	2(2)	10316
greenhouse_effect(icl>atmospheric_phenomenon>thing)	Direct	n	1(2)	38476
greenhouse_warming(icl>atmospheric_phenomenon>thing,equ>greenhouse_effect)	Direct	n	1(2)	38476
greenland(iof>island>thing)	Direct	n	1(2),1(2)	19807
greenland(iof>island>thing)	Direct	n	1(2),1(2)	19809
greenness(icl>profusion>thing)	Direct	n	1(4)	10315
greeter(icl>person>thing)	Direct	n	1(2)	10825
greeter(icl>person>thing)	Direct	n	1(4)	11162
greeting_card(icl>card>thing)	Direct	n	2(2),1(2)	22175
grenada(iof>country>thing)	Direct	n	3(2)	19821
grenada_dollar(icl>dollar>thing)	Direct	n	2(2)	20779
grenadian(icl>adj,com>grenada)	Direct	a	2(2)	19823
grenadian(icl>west_indian>person)	Direct	n	2(2)	19822
grewia_asiatica(icl>shrub>thing,equ>phalsa)	Direct	n	2(2)	25451
grey(icl>discolor>occur,obj>thing)	Direct	v	1(2),1(2)	38580
griddle(icl>cooking_utensil>thing)	Direct	n	1(2)	5951
grieve(icl>afflict>occur,cob>person,obj>thing)	Direct	v	2(2)	16355
grievous(icl>adj)	Direct	a	9(2)	3376
grievous(icl>adj,equ>atrocious)	Direct	a	3(4),4(4)	11363
grime(icl>change>do,equ>dirty,cob>thing,agt>thing,obj>concrete_thing)	Direct	v	1(4)	8670
grind(icl>break>do,agt>thing,obj>thing,gol>uw,ins>thing)	Direct	v	1(2)	23768
grind(icl>crush>thing)	Direct	n	1(2)	26212
grind(icl>sound>do,agt>thing,obj>concrete_thing,gol>thing,ins>thing)	Direct	v	1(3)	5769
grind(icl>sound>occur,obj>thing)	Direct	v	2(2)	12509
grind(icl>work>do,equ>labor,agt>thing)	Direct	v	1(2)	11468
grinder(icl>machinery>thing,equ>mill)	Direct	n	3(2)	12325
grinder(icl>tooth>thing,equ>molar)	Direct	n	2(2)	310
grip(icl>appendage>thing,equ>handle)	Hypernymy	n	1(2),2(2),3(2)	28340
grip(icl>appendage>thing,equ>handle)	Hypernymy	n	1(2),2(2),3(2)	38352
grip(icl>appendage>thing,equ>handle)	Direct	n	2(6),3(6)	4285
grip(icl>grasping>thing,equ>clasp)	Direct	n	1(4)	5007
grippe(icl>contagious_disease>thing,equ>influenza)	Direct	n	3(2)	28790
grizzly(icl>adj,equ>grey)	Direct	a	1(2)	28672
groan(icl>utter>do,equ>moan,rsn>uw,agt>person)	Direct	v	1(5)	237
groan(icl>utterance>thing)	Direct	n	2(3)	4128
groan(icl>utterance>thing)	Direct	n	1(3)	513
groan(icl>utterance>thing)	Direct	n	1(3)	719
groats(icl>grain>thing)	Direct	n	2(2)	30711
grocery(icl>consumer_goods>thing)	Direct	n	2(4)	9382
grocery(icl>marketplace>thing,equ>grocery_store)	Direct	n	(2)	1264
grocery(icl>marketplace>thing,equ>grocery_store)	Hypernymy	n	1(2)	4984
grok(icl>understand>do,agt>thing,obj>thing)	Direct	v	2(2)	8221
groom(icl>educate>do,equ>prepare,agt>thing,obj>thing)	Direct	v	1(2)	27720
groom(icl>hired_hand>thing,equ>stableman)	Direct	n	1(2)	10216
groom(icl>participant>thing)	Direct	n	2(4),1(4)	6205
groomsman(icl>attendant>thing)	Direct	n	1(2)	34229
grosz(icl>polish_monetary_unit>thing)	Direct	n	2(2)	19654
ground(icl>fasten>do,equ>anchor,agt>thing,obj>thing)	Direct	v	2(2)	27858
ground(icl>foundation>thing,equ>footing)	Direct	n	1(4)	28115
ground(icl>object>thing,equ>land)	Direct	n	2(4),1(4)	475
groundless(icl>adj,equ>baseless)	Direct	a	5(2)	789
groundwork(icl>assumption>thing,equ>basis)	Direct	n	1(4)	12343
groundwork(icl>assumption>thing,equ>basis)	Direct	n	4(4),2(4)	13348
groundwork(icl>assumption>thing,equ>basis)	Hypernymy	n	1(2)	35249
groundwork(icl>support>thing,equ>foundation)	Direct	n	1(4)	3409
group(icl>abstraction>thing)	Hypernymy	n	3(2),3(2),2(2),2(2),1(2),1(2)	10543
group(icl>abstraction>thing)	Direct	n	4(5),4(5),1(4),1(4),2(4),2(4)	10729
group(icl>abstraction>thing)	Direct	n	1(4),1(4)	1627
group(icl>abstraction>thing)	Hypernymy	n	2(2),2(2),3(2),3(2),1(2),1(2)	32402
group(icl>abstraction>thing)	Hypernymy	n	1(2),1(2),2(2),2(2)	36539
group(icl>abstraction>thing)	Hypernymy	n	1(2),1(2)	36938
group(icl>abstraction>thing)	Direct	n	2(2),2(2)	4978
group_a(icl>blood_group>thing,equ>a)	Direct	n	11(4)	26954
group_ab(icl>blood_group>thing,equ>ab)	Direct	n	1(2),2(2),3(2)	26959
group_b(icl>blood_group>thing,equ>b)	Direct	n	1(2),2(2),3(2)	26958
group_o(icl>blood_group>thing,equ>o)	Direct	n	1(2),2(2),3(2)	26960
grouse(icl>game_bird>thing)	Direct	n	1(2)	17614
grove(icl>forest>thing)	Direct	n	1(4)	4330
groves(iof>general>thing)	Direct	n	2(2),2(2)	27414
grow(icl>become>occur,equ>originate,obj>thing)	Hypernymy	v	1(4)	12188
grow(icl>develop>occur,cob>thing,src>thing,obj>thing,gol>thing,val>thing)	Direct	v	1(4)	11923
grow(icl>develop>occur,cob>thing,src>thing,obj>thing,gol>thing,val>thing)	Direct	v	2(4),3(4)	3433
grow(icl>develop>occur,cob>thing,src>thing,obj>thing,gol>thing,val>thing)	Hypernymy	v	1(2)	38960
grow_up(icl>mature>do,agt>thing)	Direct	v	1(2)	4677
growing(icl>adj,com>growth)	Direct	a	2(2)	37582
growl(icl>cry>thing)	Direct	n	1(3),1(3)	7108
growl(icl>utter>do,equ>grumble,agt>thing)	Direct	v	1(5)	11213
grownup(icl>person>thing,equ>adult,ant>juvenile)	Direct	n	3(2)	22500
growth(icl>beginning>thing,equ>emergence)	Direct	n	9(4)	3597
growth_rate(icl>rate>thing)	Direct	n	1(2)	34405
gruelling(icl>adj,equ>arduous)	Direct	a	1(2),1(2)	9132
grumble(icl>noise>thing,equ>rumble)	Direct	n	1(4),1(4)	6418
grumble(icl>sound>occur,equ>rumble,obj>thing)	Direct	v	1(2)	16507
gruntle(icl>calm>do,equ>pacify,agt>thing,obj>thing)	Direct	v	3(2),3(2)	14037
guarani(icl>paraguayan_monetary_unit>thing)	Direct	n	3(2)	19978
guarani(icl>south_american_indian>thing)	Direct	n	3(2)	19981
guarani(icl>tupi-guarani>thing)	Direct	n	3(2)	19980
guarantee(icl>collateral>thing)	Direct	n	2(3),2(3)	8856
guard(icl>assignment>thing,equ>guard_duty)	Direct	n	(3)	8173
guardian(icl>preserver>thing,equ>defender)	Direct	n	1(4)	12891
guardian(icl>preserver>thing,equ>defender)	Direct	n	2(4)	12892
guardian(icl>preserver>thing,equ>defender)	Direct	n	1(4)	7787
guardian(icl>preserver>thing,equ>defender)	Direct	n	1(4),(4)	861
guatemala(iof>central_american_country>thing)	Direct	n	3(4)	19824
guatemala_city(iof>national_capital>thing)	Direct	n	2(2),(4)	23953
guatemalan(icl>adj,com>guatemala)	Direct	a	2(2)	19826
guatemalan(icl>central_american>person)	Direct	n	2(2)	19825
guava(icl>edible_fruit>thing)	Direct	n	1(4)	4478
guenon(icl>old_world_monkey>thing)	Direct	n	2(2)	23850
guenon_monkey(icl>old_world_monkey>thing,equ>guenon)	Direct	n	2(2)	23850
guerilla(icl>warrior>thing,equ>guerrilla)	Direct	n	1(4),1(6)	28741
guerrilla_force(icl>force>thing)	Hypernymy	n	1(2),1(2),3(2),3(2),2(2),2(2)	35509
guess(icl>calculate>do,equ>estimate,agt>thing,obj>thing)	Direct	v	1(2)	11176
guess(icl>opinion>thing)	Direct	n	1(4)	107
guest(icl>customer>thing)	Direct	n	1(5)	27927
guest(icl>visitor>thing)	Direct	n	1(2)	12272
guest(icl>visitor>thing)	Hypernymy	n	1(2)	1572
guest(icl>visitor>thing)	Direct	n	1(5),3(4),2(4)	2611
guesthouse(icl>house>thing)	Direct	n	7(4)	200
guestroom(icl>bedroom>thing)	Direct	n	1(2)	1855
guffaw(icl>laugh>thing)	Direct	n	3(2)	2566
guidance(icl>control>thing,equ>steering)	Direct	n	1(2)	7625
guidance(icl>management>thing)	Direct	n	1(4)	13251
guidance(icl>management>thing)	Direct	n	1(2),2(2),5(2)	20009
guidance(icl>message>thing)	Direct	n	1(2)	10507
guide(icl>handbook>thing,equ>guidebook)	Direct	n	1(2)	12329
guide(icl>leader>thing)	Direct	n	2(2)	18289
guide(icl>leader>thing)	Direct	n	3(3)	20289
guideline(icl>plan>thing,equ>road_map)	Direct	n	3(2),1(2),2(2)	34927
guild(icl>association>thing,equ>club)	Direct	n	1(4)	28432
guile(icl>deception>thing,equ>trickery)	Direct	n	2(2)	22969
guilt(icl>condition>thing,ant>innocence)	Direct	n	1(2)	34252
guiltiness(icl>condition>thing,equ>guilt,ant>innocence)	Direct	n	1(2)	34252
guiltless(icl>adj,equ>innocent,ant>guilty)	Direct	a	1(4)	11455
guiltless(icl>adj,equ>innocent,ant>guilty)	Direct	a	6(3)	2932
guiltlessness(icl>innocence>thing,equ>blamelessness)	Direct	n	2(2)	14502
guinea(icl>coin>thing)	Direct	n	1(3)	922
guinea(icl>domestic_fowl>thing,equ>guinea_fowl)	Direct	n	1(2)	20140
guinea(iof>african_country>thing)	Direct	n	2(2)	20139
guinea-bissau(iof>african_country>thing)	Direct	n	2(2),2(2)	20141
guinea_fowl(icl>domestic_fowl>thing)	Direct	n	1(2)	20140
guinea_pig(icl>cavy>thing)	Direct	n	1(2)	20220
guinean(icl>adj,com>guinea)	Direct	a	2(2)	19962
guinean(icl>african>person)	Direct	n	2(2)	19961
guitar(icl>stringed_instrument>thing)	Direct	n	1(5)	7487
gujarat(iof>state>thing)	Direct	n	1(2),1(2)	4922
gujarati(icl>indian>thing)	Direct	n	2(2),2(2)	3248
gujarati(icl>sanskrit>thing)	Direct	n	1(4),1(4)	3261
gulden(icl>surinamese_monetary_unit>thing,equ>guilder)	Direct	n	2(2),2(2)	19585
gulf(icl>chasm>thing)	Direct	n	1(2)	36733
gulf_of_mexico(iof>gulf>thing)	Direct	n	1(2),1(2)	35606
gull(icl>deceive>do,equ>fool,agt>thing,obj>thing)	Direct	v	1(2)	7139
gull(icl>larid>thing)	Direct	n	1(2)	22817
gullet(icl>passage>thing,equ>esophagus)	Direct	n	1(2)	21796
gum(icl>animal_tissue>thing,equ>gingiva)	Direct	n	2(2)	273
gum(icl>cement>thing,equ>glue)	Hypernymy	n	1(3)	12808
gum(icl>exudate>thing)	Hypernymy	n	1(3)	13239
gum(icl>exudate>thing)	Hypernymy	n	3(2),(2),2(2),1(2)	38535
gum(icl>exudate>thing)	Direct	n	1(3)	7799
gumbo(icl>herb>thing,equ>okra)	Direct	n	1(4)	9654
gumminess(icl>viscosity>thing,equ>cohesiveness)	Direct	n	1(4),1(4),4(4)	9972
gummy(icl>adj,equ>gluey)	Direct	a	4(4),3(4)	9441
gun(icl>murderer>thing,equ>gunman)	Direct	n	2(2)	27928
gun(icl>weapon>thing)	Hypernymy	n	(2),2(2),3(2)	2991
gun(icl>weapon>thing)	Direct	n	3(2)	7066
gun_carriage(icl>framework>thing)	Direct	n	2(2)	30740
gunman(icl>murderer>thing)	Direct	n	2(2)	27928
gunner(icl>serviceman>thing,equ>artilleryman)	Direct	n	1(2)	14738
gunpowder(icl>explosive>thing)	Hypernymy	n	1(2),2(2)	34327
gunpowder(icl>explosive>thing)	Direct	n	1(5)	7250
gunsight(icl>sight>thing)	Direct	n	2(2),2(2)	35966
gunstock(icl>handle>thing,equ>stock)	Direct	n	1(2)	14536
gurgle(icl>sound>thing)	Direct	n	4(2)	29732
guru(icl>leader>person,com>sikh)	Hypernymy	n	3(2),1(2),2(2)	14862
guru(icl>leader>person,com>sikh)	Hypernymy	n	1(2),2(2),3(2)	17356
guru(icl>leader>person,com>sikh)	Hypernymy	n	1(2),2(2),3(2)	32787
guru(icl>leader>person,com>sikh)	Hypernymy	n	1(2),2(2)	32788
guru(icl>leader>person,com>sikh)	Hypernymy	n	1(2),2(2)	32789
guru(icl>leader>person,com>sikh)	Hypernymy	n	1(2),2(2)	32790
guru(icl>leader>person,com>sikh)	Direct	n	3(2)	3319
guru(icl>leader>person,com>sikh)	Hypernymy	n	1(2)	37826
guru(icl>leader>person,com>sikh)	Hypernymy	n	1(2),2(2)	38585
guru(icl>teacher>person,com>religion)	Hypernymy	n	3(2),1(2),2(2)	14862
guru(icl>teacher>person,com>religion)	Hypernymy	n	1(2),2(2),3(2)	17356
guru(icl>teacher>person,com>religion)	Hypernymy	n	1(2),2(2),3(2)	32787
guru(icl>teacher>person,com>religion)	Hypernymy	n	1(2),2(2)	32788
guru(icl>teacher>person,com>religion)	Hypernymy	n	1(2),2(2)	32789
